Page,Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/catalog/999-0011-arkansas,"Digital Sanborn Maps (Black & White): Arkansas, 1867-1970 - Big Ten Academic Alliance Geoportal",17,7,00:00:38,6,16.67%,35.29%,$0.00
/catalog/04f-03,Prince George's County GIS Open Data - Big Ten Academic Alliance Geoportal,16,10,00:01:47,0,0.00%,18.75%,$0.00
/catalog/999-0010-new-jersey,Fire Insurance Maps Online (FIMo): New Jersey - Big Ten Academic Alliance Geoportal,16,10,00:00:18,1,0.00%,18.75%,$0.00
/catalog/a287be88-d7d4-442d-aeb6-fd05f103a4a9,"LiDAR-Derived 2-foot Contours: Grant County, Wisconsin, 2011 - Big Ten Academic Alliance Geoportal",16,5,00:01:48,5,0.00%,25.00%,$0.00
/catalog/f50d04b9-6bb3-4286-8258-e764df704d82,"Aerial Photography [Manitowoc County, Wisconsin] {1938} - Big Ten Academic Alliance Geoportal",16,6,00:01:07,5,60.00%,31.25%,$0.00
/catalog/02a-01,Illinois Open Data Collection - Big Ten Academic Alliance Geoportal,15,8,00:01:01,0,0.00%,0.00%,$0.00
/catalog/999-0010-ohio,Fire Insurance Maps Online (FIMo): Ohio - Big Ten Academic Alliance Geoportal,15,10,00:00:46,9,22.22%,26.67%,$0.00
/catalog/999-0011-north-carolina,"Digital Sanborn Maps (Black & White): North Carolina, 1867-1970 - Big Ten Academic Alliance Geoportal",15,9,00:00:35,8,37.50%,46.67%,$0.00
/catalog/b92aaf9e-88c7-4950-92ed-995e23d5c92a,"03N 12E - Survey Map of Shelby Township, Macomb County: Michigan - Big Ten Academic Alliance Geoportal",15,4,00:02:15,4,0.00%,26.67%,$0.00
/catalog/ba5cc745-21c5-4ae9-954b-72dd8db6815a,Government Open Geospatial Data Collection - Big Ten Academic Alliance Geoportal,15,6,00:00:42,0,0.00%,13.33%,$0.00
/catalog/harvard-nhgis-pop1800,"Historic County Boundaries and Total Population: United States, 1800 - Big Ten Academic Alliance Geoportal",15,5,00:01:29,0,0.00%,0.00%,$0.00
/catalog/landgrabu_org,Land Grab Universities Interactive Map - Big Ten Academic Alliance Geoportal,15,6,00:00:59,0,0.00%,13.33%,$0.00
/catalog/27001,Aitkin County - Big Ten Academic Alliance Geoportal,14,4,00:00:26,1,0.00%,0.00%,$0.00
/catalog/999-0001,Social Explorer - Big Ten Academic Alliance Geoportal,14,4,00:00:28,0,0.00%,0.00%,$0.00
/catalog/999-0004-110,Nielsen Scarborough Survey Data (SimplyAnalytics) - Big Ten Academic Alliance Geoportal,14,11,00:00:26,11,72.73%,64.29%,$0.00
/catalog/999-0011-missouri,"Digital Sanborn Maps (Black & White): Missouri, 1867-1970 - Big Ten Academic Alliance Geoportal",14,10,00:00:25,10,70.00%,64.29%,$0.00
/catalog/aaa94ac9-5ad4-4bc2-951d-5f2061170838,"1990 to 2000 Census Tract Correspondence and Combined Tracts: Twin Cities Metropolitan Area, Minnesota, 1990-2000 - Big Ten Academic Alliance Geoportal",14,9,00:00:42,1,0.00%,7.14%,$0.00
/catalog/6b33696f-4c61-4e26-955d-c5ff8733f7ad,"County Boundary: Allegan County, Michigan - Big Ten Academic Alliance Geoportal",13,2,00:00:48,0,0.00%,0.00%,$0.00
/catalog/8888-002,Research Guide to Sanborn Fire Insurance Maps - Big Ten Academic Alliance Geoportal,13,11,00:00:36,1,100.00%,38.46%,$0.00
/catalog/999-0011-pennsylvania,"Digital Sanborn Maps (Black & White): Pennsylvania, 1867-1970 - Big Ten Academic Alliance Geoportal",13,7,00:00:58,2,0.00%,7.69%,$0.00
/catalog/999-0011-tennessee,"Digital Sanborn Maps (Black & White): Tennessee, 1867-1970 - Big Ten Academic Alliance Geoportal",13,7,00:00:20,7,57.14%,46.15%,$0.00
/catalog/a4d43715-a2cf-4a1b-bbe8-6b9e7c461cd2,Territories (Native Land Map) - Big Ten Academic Alliance Geoportal,13,1,00:03:06,0,0.00%,0.00%,$0.00
/catalog/07d-01,Clark Library Scanned Maps - Big Ten Academic Alliance Geoportal,12,7,00:00:54,1,0.00%,16.67%,$0.00
/catalog/51751a80-781f-4957-b94b-a3ffdf30a064,"Aerial Photography [Douglas County, Wisconsin] {1938} - Big Ten Academic Alliance Geoportal",12,9,00:02:15,8,75.00%,75.00%,$0.00
/catalog/80571868-11ef-4315-906c-1e3816b55ceb,"Aerial Photography [Waukesha County, Wisconsin] {1937} - Big Ten Academic Alliance Geoportal",12,6,00:03:15,0,0.00%,8.33%,$0.00
/catalog/999-0011-geo,"Georeferenced Sanborn Maps: Selected Cities & States, 1867-1970 - Big Ten Academic Alliance Geoportal",12,9,00:01:10,9,66.67%,58.33%,$0.00
/catalog/999-0011-minnesota,"Digital Sanborn Maps (Black & White): Minnesota, 1867-1970 - Big Ten Academic Alliance Geoportal",12,8,00:01:17,7,57.14%,50.00%,$0.00
/catalog/adbb63799c9944ed9ae3cf82bd8f2fd5_3,"Topography 2 Foot Contours: Washington, D.C. - Big Ten Academic Alliance Geoportal",12,9,00:01:41,9,50.00%,75.00%,$0.00
/catalog/ark-85335-m5hx1733z,"Plat book of Ontonagon County, Michigan - Big Ten Academic Alliance Geoportal",12,10,00:00:16,10,90.00%,83.33%,$0.00
/catalog/native-land-ca-interactive-map,Native Land Map - Big Ten Academic Alliance Geoportal,12,3,00:01:11,0,0.00%,0.00%,$0.00
/catalog/01d-03-50k,Index Map: 50k scale; Russian Military Topographic Map Collection - Big Ten Academic Alliance Geoportal,11,9,00:00:53,2,100.00%,54.55%,$0.00
/catalog/05b-27003,Anoka County GIS Data Downloads - Big Ten Academic Alliance Geoportal,11,7,00:00:08,0,0.00%,0.00%,$0.00
/catalog/05b-27007,Beltrami County Open GIS Data - Big Ten Academic Alliance Geoportal,11,5,00:00:16,0,0.00%,0.00%,$0.00
/catalog/05b-27011,Big Stone County Open Data - Big Ten Academic Alliance Geoportal,11,5,00:00:02,0,0.00%,0.00%,$0.00
/catalog/08a-01,PASDA: The Pennsylvania Geospatial Data Clearinghouse - Big Ten Academic Alliance Geoportal,11,8,00:00:22,0,0.00%,27.27%,$0.00
/catalog/12d-02,Early Modern Maps of the Americas - Big Ten Academic Alliance Geoportal,11,5,00:00:43,0,0.00%,0.00%,$0.00
/catalog/999-0011-florida,"Digital Sanborn Maps (Black & White): Florida, 1867-1970 - Big Ten Academic Alliance Geoportal",11,5,00:00:45,5,40.00%,45.45%,$0.00
/catalog/999-0011-rhode-island,"Digital Sanborn Maps (Black & White): Rhode Island, 1867-1970 - Big Ten Academic Alliance Geoportal",11,5,00:00:24,5,0.00%,27.27%,$0.00
/catalog/9ca1b93c7e5c4a63876b64e9257d6d0f_2,"FEMA Flood Insurance Rate Map Panels: Summit County, Ohio, 2009 - Big Ten Academic Alliance Geoportal",11,8,00:06:38,8,62.50%,72.73%,$0.00
/catalog/a720f45ace884226a55065042264e0d1_3,"Evansville City Limits: Vanderburgh County, Indiana, United States - Big Ten Academic Alliance Geoportal",11,11,00:00:00,11,81.82%,100.00%,$0.00
/catalog/b0153110-e455-4ced-9114-9b13250a7093,Research Institutes Geospatial Data Collection - Big Ten Academic Alliance Geoportal,11,2,00:00:18,0,0.00%,0.00%,$0.00
/catalog/d010c151-8e6a-4544-84f7-3dae8d808675,"The route of Mr. Mungo Park, from Pisania on the River Gambia, to Silla, on the River Joliba or Niger, with his return by the Southern Route, to Pisania - Big Ten Academic Alliance Geoportal",11,7,00:10:46,7,71.43%,63.64%,$0.00
/catalog/e4e7f9576672425c96b7911a2fe0b92d_4,"Storm Sewer Structures: Indianapolis, Indiana - Big Ten Academic Alliance Geoportal",11,11,00:04:54,11,72.73%,90.91%,$0.00
/catalog/e89065ce-2b03-44ac-930b-00eaf1e9607b,"Typus orbis terrarum: quid ei potest videri magnum in rebus humanis, cui aeternitas omnis, totius que mundi nota sit magnitudo - Big Ten Academic Alliance Geoportal",11,6,00:02:21,6,50.00%,54.55%,$0.00
/catalog/e9c74013-8dda-45c2-a168-ad9197265734,"Address Points: Clearwater County, Minnesota - Big Ten Academic Alliance Geoportal",11,2,00:00:21,0,0.00%,0.00%,$0.00
/catalog/p16022coll289:56,Agricultural Production by Type: Ecological Study for the Twin-Cities Metropolitan Area - Big Ten Academic Alliance Geoportal,11,7,00:00:57,6,66.67%,54.55%,$0.00
/catalog/02b-17001,"Adams County, Illinois GIS - Big Ten Academic Alliance Geoportal",10,4,00:00:22,1,0.00%,0.00%,$0.00
/catalog/03d-02,Hixson Plat Map Atlases of Iowa - Big Ten Academic Alliance Geoportal,10,9,00:00:11,1,100.00%,30.00%,$0.00
/catalog/05b-27009,Benton County GIS Data Downloads - Big Ten Academic Alliance Geoportal,10,5,00:00:03,0,0.00%,0.00%,$0.00
/catalog/10d-01,WisconsinView - Big Ten Academic Alliance Geoportal,10,8,00:02:20,0,0.00%,30.00%,$0.00
/catalog/999-0010-indiana,Fire Insurance Maps Online (FIMo): Indiana - Big Ten Academic Alliance Geoportal,10,7,00:00:25,0,0.00%,0.00%,$0.00
/catalog/all-relationships,All Relationships - Big Ten Academic Alliance Geoportal,10,1,00:00:27,0,0.00%,0.00%,$0.00
/catalog/b301680d-c9e4-4b4f-a2d0-b5f394e3dec8,"Aerial Photography: Dakota County, Minnesota, 1937 - Big Ten Academic Alliance Geoportal",10,5,00:01:01,4,100.00%,40.00%,$0.00
/catalog/faae32ac959346bbace7cf6fea0c3319_0,Municipal Separate Storm Sewer System (MS4) Areas - Regulated: Ohio - Big Ten Academic Alliance Geoportal,10,9,00:12:51,9,66.67%,90.00%,$0.00
/catalog/ff0af920c18e4aa78459137b6efcd3d3_15,"Facet Grid, Franklin County: Dublin, Ohio - Big Ten Academic Alliance Geoportal",10,9,00:00:39,9,66.67%,90.00%,$0.00
/catalog/harvard-nhgis-pop1880,"Historic County Boundaries and Total Population: United States, 1880 - Big Ten Academic Alliance Geoportal",10,5,00:01:04,2,0.00%,20.00%,$0.00
/catalog/harvard-nhgis-pop1940,"Historic County Boundaries and Total Population: United States, 1940 - Big Ten Academic Alliance Geoportal",10,6,00:01:14,5,40.00%,40.00%,$0.00
/catalog/harvard-tg95alaircupy,"American Indian Reservations, 1995 - Alabama - Big Ten Academic Alliance Geoportal",10,4,00:01:28,1,0.00%,10.00%,$0.00
/catalog/03b-19029,Cass County GIS Downloadable Files - Big Ten Academic Alliance Geoportal,9,8,00:00:15,0,0.00%,0.00%,$0.00
/catalog/10c71dbd91874c739cddd86d4d15d2f0_0,"Gun Offenders: City of Baltimore, Maryland - Big Ten Academic Alliance Geoportal",9,9,00:00:16,9,88.89%,88.89%,$0.00
/catalog/11f-01,Athens Conservancy GIS Center - Big Ten Academic Alliance Geoportal,9,4,00:00:08,0,0.00%,0.00%,$0.00
/catalog/2e51146d-01fe-4fe8-8cf5-534183bd6ca6,"Homestead, Pennsylvania, 1907 - Big Ten Academic Alliance Geoportal",9,6,00:16:10,6,66.67%,66.67%,$0.00
/catalog/3c61c5b3-ed9e-411d-8ab8-cbe0f1435727,Indiana Roads from INDOT and TIGER Files: Indiana - Big Ten Academic Alliance Geoportal,9,8,00:01:00,7,14.29%,55.56%,$0.00
/catalog/999-0011-arizona,"Digital Sanborn Maps (Black & White): Arizona, 1867-1970 - Big Ten Academic Alliance Geoportal",9,4,00:00:14,4,25.00%,33.33%,$0.00
/catalog/999-0011-kansas,"Digital Sanborn Maps (Black & White): Kansas, 1867-1970 - Big Ten Academic Alliance Geoportal",9,6,00:01:04,6,16.67%,22.22%,$0.00
/catalog/ark-85335-m5gq6sd72,"Ada, Township 6&7N Range 10W: Kent County, Michigan - Big Ten Academic Alliance Geoportal",9,5,00:07:32,2,100.00%,33.33%,$0.00
/catalog/e8612a5bdcbb46db8421d389adc41369_0,"Building Footprints: Cuyahoga County, Ohio, 2016 - Big Ten Academic Alliance Geoportal",9,5,00:00:30,5,20.00%,55.56%,$0.00
/catalog/f36fd6c6-d5bd-4f86-9947-fc712ef96147,"Road Centerlines: Clearwater County, Minnesota - Big Ten Academic Alliance Geoportal",9,1,00:01:52,0,0.00%,0.00%,$0.00
/catalog/VAC3073-M-00712,Map of the city of Gary and vicinity - Big Ten Academic Alliance Geoportal,9,7,00:03:08,7,71.43%,77.78%,$0.00
/catalog/04b-24003,Anne Arundel County GIS Data - Big Ten Academic Alliance Geoportal,8,7,00:00:03,0,0.00%,0.00%,$0.00
/catalog/05a-03,General Land Office Township Plats: Minnesota - Big Ten Academic Alliance Geoportal,8,6,00:00:54,1,0.00%,12.50%,$0.00
/catalog/05b-27145,Stearns County GIS Data for Download - Big Ten Academic Alliance Geoportal,8,1,00:00:05,1,0.00%,12.50%,$0.00
/catalog/05d-03,University of Minnesota Digital Conservancy DRUM - Big Ten Academic Alliance Geoportal,8,7,00:01:01,0,0.00%,25.00%,$0.00
/catalog/11b-39007,"ArcGIS REST Services Directory for Ashtabula County, Ohio - Big Ten Academic Alliance Geoportal",8,7,00:00:26,0,0.00%,12.50%,$0.00
/catalog/4d8468466a6c49048fa30b7994aa3e4c_5,"School District Boundaries: Franklin County, Ohio - Big Ten Academic Alliance Geoportal",8,7,00:06:55,6,83.33%,75.00%,$0.00
/catalog/628267e2-45d5-4425-b96f-7d4866da2809,"A map of the Garden of Eden, before God destroy'd it with the flood. - Big Ten Academic Alliance Geoportal",8,8,00:00:00,8,87.50%,100.00%,$0.00
/catalog/6a9c5c09abf642c8b8cb35c9387338cb_0,Biosolids Application Fields: Ohio - Big Ten Academic Alliance Geoportal,8,6,00:13:32,6,83.33%,75.00%,$0.00
/catalog/99-1200,ArcGIS Living Atlas of the World - Big Ten Academic Alliance Geoportal,8,5,00:00:09,0,0.00%,0.00%,$0.00
/catalog/99-1300,Census Bureau - Big Ten Academic Alliance Geoportal,8,7,00:00:11,0,0.00%,0.00%,$0.00
/catalog/999-0010-maryland,Fire Insurance Maps Online (FIMo): Maryland - Big Ten Academic Alliance Geoportal,8,5,00:01:38,3,33.33%,50.00%,$0.00
/catalog/999-0010-oklahoma,Fire Insurance Maps Online (FIMo): Oklahoma - Big Ten Academic Alliance Geoportal,8,7,00:00:23,1,100.00%,50.00%,$0.00
/catalog/999-0010-texas,Fire Insurance Maps Online (FIMo): Texas - Big Ten Academic Alliance Geoportal,8,7,00:00:22,0,0.00%,0.00%,$0.00
/catalog/999-0011-new-hampshire,"Digital Sanborn Maps (Black & White): New Hampshire, 1867-1970 - Big Ten Academic Alliance Geoportal",8,3,00:00:13,3,33.33%,37.50%,$0.00
/catalog/a12ce3c4-6868-4843-b91f-1c03ea681c45,"Height Modernization (ILHMP) LiDAR Data [Kane County, Illinois] (2008) - Big Ten Academic Alliance Geoportal",8,4,00:00:33,3,0.00%,12.50%,$0.00
/catalog/baafdaaf-1dd4-4626-aca4-2520cedadbad,"Parcels: Clearwater County, Minnesota - Big Ten Academic Alliance Geoportal",8,1,00:00:11,0,0.00%,0.00%,$0.00
/catalog/d46dc07fbff345818649bae861accada,100-Year Floodplain: State of Indiana - Big Ten Academic Alliance Geoportal,8,3,00:01:34,0,0.00%,0.00%,$0.00
/catalog/e93afe95-5e07-450f-878a-45aefa198ffe,"Map of Marion County, Indiana showing highways & roads - Big Ten Academic Alliance Geoportal",8,6,00:00:54,6,66.67%,62.50%,$0.00
/catalog/ed0e0c8d-0399-4b9e-b593-ab378e94bb79,"Aerial Photography [Clark County, Wisconsin] {1938} - Big Ten Academic Alliance Geoportal",8,5,00:04:02,1,0.00%,25.00%,$0.00
/catalog/f403c266-86da-42da-ae72-32df36fb8252,"Aerial Photography [Lafayette County, Wisconsin] {1937} - Big Ten Academic Alliance Geoportal",8,4,00:01:15,0,0.00%,25.00%,$0.00
/catalog/harvard-nhgis-pop1820,"Historic County Boundaries and Total Population: United States, 1820 - Big Ten Academic Alliance Geoportal",8,4,00:00:23,0,0.00%,0.00%,$0.00
/catalog/harvard-nhgis-pop1870,"Historic County Boundaries and Total Population: United States, 1870 - Big Ten Academic Alliance Geoportal",8,4,00:00:27,1,0.00%,12.50%,$0.00
/catalog/the-related-record,The Related Record - Big Ten Academic Alliance Geoportal,8,1,00:00:41,0,0.00%,0.00%,$0.00
/catalog/Treaties_Morrill_Overlaps,Cession Polygons (Morrill Act of 1862 Indigenous Land Parcels Database) - Big Ten Academic Alliance Geoportal,8,6,00:00:07,1,100.00%,25.00%,$0.00
/catalog/VAC3073-M-00794,1929 road map Indiana - Big Ten Academic Alliance Geoportal,8,7,00:02:05,0,0.00%,0.00%,$0.00
/catalog/VAC9619-004187,"N-36-47 Юхнов (Yukhnov, Russia) - Big Ten Academic Alliance Geoportal",8,1,00:00:36,1,0.00%,0.00%,$0.00
/catalog/,Big Ten Academic Alliance Geoportal,7,4,00:00:47,3,33.33%,14.29%,$0.00
/catalog/01c-01,"City of Bloomington, Indiana Open Data Collection - Big Ten Academic Alliance Geoportal",7,3,00:00:14,1,0.00%,14.29%,$0.00
/catalog/01d-01,Indiana Historic Maps - Big Ten Academic Alliance Geoportal,7,4,00:00:50,0,0.00%,14.29%,$0.00
/catalog/01d-04,Hoosier Resilience Index: Indiana - Big Ten Academic Alliance Geoportal,7,6,00:00:30,0,0.00%,0.00%,$0.00
/catalog/03a,State of Iowa Open Data Collection - Big Ten Academic Alliance Geoportal,7,5,00:01:14,0,0.00%,28.57%,$0.00
/catalog/04c-02,City of Baltimore GIS Open Data - Big Ten Academic Alliance Geoportal,7,6,00:00:18,0,0.00%,0.00%,$0.00
/catalog/05d-08,Earthstat - Big Ten Academic Alliance Geoportal,7,4,00:00:11,0,0.00%,0.00%,$0.00
/catalog/07c-02,Ann Arbor Data Catalog - Big Ten Academic Alliance Geoportal,7,7,00:00:29,0,0.00%,0.00%,$0.00
